15,1,意外险,1193435061
15,1,家财险,1425876220
15,1,医疗险,1425876220
15,2,意外险,1425876220
23,2,意外险,1148672905
68,2,意外险,1249808064
68,3,意外险,1249808102
73,3,意外险,1430799184
73,3,意外险,1430799184
73,3,意外险,1430799184
73,4,意外险,1431584497
73,5,意外险,1431584497
73,6,意外险,1431584497
73,4,意外险,1432523704
73,6,意外险,1432523704
73,5,意外险,1432523704
77,5,意外险,1163220043
77,4,意外险,1163220138
77,6,意外险,1163220039
84,4,意外险,1429911417
84,5,意外险,1429911417
84,6,意外险,1429911417
94,7,意外险,1291781542
94,7,意外险,1291781538
132,8,人寿险,1283581045
132,8,重疾险,1283581045
132,8,重疾险,1283581045
138,8,人寿险,1440379022
138,9,重疾险,1440379018
138,8,重疾险,1440380361
138,8,人寿险,1440380355
138,9,重疾险,1440380357
